"id","name","code","account_type","tag_ids","reconcile"
"l10n_ir_chart_111001","صندوق ریالی","111001","income","","1"
"l10n_ir_chart_111002","صندوق ارزی","111002","income","","1"
"l10n_ir_chart_111003","تنخواه گردانهای ریالی","111003","income","","1"
"l10n_ir_chart_111004","تنخواه گردانهای ارزی","111004","income","","1"
"l10n_ir_chart_111005","موجودی بانکهای ریالی","111005","income","","1"
"l10n_ir_chart_111006","موجودی بانکهای ارزی","111006","income","","1"
"l10n_ir_chart_111007","وجوه در راه","111007","asset_current","","1"
"l10n_ir_chart_111008","موجودی واریز نامه های ارزی","111008","income","","1"
"l10n_ir_chart_111009","سپرده کوتاه مدت بانکی","111009","income","","1"
"l10n_ir_chart_111101","سپرده های  کوتاه مدت بانکی","111101","income","","1"
"l10n_ir_chart_111102","سپرده شرکت در مناقصه ومزایده","111102","asset_current","","1"
"l10n_ir_chart_111103","سپرده های گمرکی","111103","asset_current","","1"
"l10n_ir_chart_111104","سپرده های دریافتنی","111104","asset_receivable","","1"
"l10n_ir_chart_111105","سپرده ضمانتنامه های بانکی","111105","asset_current","","1"
"l10n_ir_chart_111106","سایر سپرده ها","111106","asset_current","","1"
"l10n_ir_chart_111201","چکهای در جریان وصول","111201","asset_current","","1"
"l10n_ir_chart_111202","اسناد در جریان وصول","111202","asset_current","","1"
"l10n_ir_chart_111203","چکهای دریافتنی نزد صندوق","111203","asset_receivable","","1"
"l10n_ir_chart_111204","اسناد دریافتنی نزد صندوق","111204","asset_receivable","","1"
"l10n_ir_chart_111205","چک پول نزد صندوق","111205","income","","1"
"l10n_ir_chart_111206","چکهای دریافتنی نزد صندوق غیرتجاری","111206","asset_receivable","","1"
"l10n_ir_chart_111301","اشخاص (حسابهای دریافتنی)","111301","asset_receivable","","1"
"l10n_ir_chart_111302","شرکتها (حسابهای دریافتنی)","111302","asset_receivable","","1"
"l10n_ir_chart_111303","تعهد صاحبان سهام","111303","asset_current","","1"
"l10n_ir_chart_111305","ذخیره مطالبات مشکوک الوصول","111305","asset_current","","1"
"l10n_ir_chart_111306","اسناد واخواست شده","111306","asset_current","","1"
"l10n_ir_chart_111401","مساعده حقوق","111401","asset_current","","1"
"l10n_ir_chart_111402","وام ضروری کارکنان","111402","asset_current","","1"
"l10n_ir_chart_111403","وام مسکن کارکنان","111403","asset_current","","1"
"l10n_ir_chart_111404","جاری کارکنان","111404","asset_current","","1"
"l10n_ir_chart_111405","وجوهات قرضی","111405","asset_current","","1"
"l10n_ir_chart_111406","خسارات قابل دریافت از بیمه","111406","asset_current","","1"
"l10n_ir_chart_111407","مطالبات غیر تجاری از سایر اشخاص حقیقی و حقوقی","111407","asset_current","","1"
"l10n_ir_chart_111408","سایر کسور کارکنان","111408","asset_current","","1"
"l10n_ir_chart_111409","حق العمل کاران و ترخیص کاران گمرکی","111409","asset_current","","1"
"l10n_ir_chart_111410","صندوق قرض الحسنه کارکنان","111410","asset_current","","1"
"l10n_ir_chart_111411","سایر حسابها واسناد دریافتنی","111411","asset_receivable","","1"
"l10n_ir_chart_111412","وام کاشی","111412","asset_current","","1"
"l10n_ir_chart_111413","وام موتور","111413","asset_current","","1"
"l10n_ir_chart_111414","بدهکاران موقت","111414","asset_current","","1"
"l10n_ir_chart_111415","اسناد حقوقی شده","111415","asset_current","","1"
"l10n_ir_chart_111416","سود سهام دریافتنی","111416","asset_receivable","","1"
"l10n_ir_chart_111417","مالیات بر ارزش افزوده خرید","111417","asset_current","","1"
"l10n_ir_chart_111499","سود سهام پرداختی","111499","asset_current","","1"
"l10n_ir_chart_111501","سپرده های کوتاه مدت نزدبانکها","111501","asset_current","","1"
"l10n_ir_chart_111502","سهام سایر شرکتها","111502","asset_current","","1"
"l10n_ir_chart_111601","موجودی مواد اولیه","111601","asset_current","","1"
"l10n_ir_chart_111602","موجودی قطعات و لوازم یدکی","111602","asset_current","","1"
"l10n_ir_chart_111603","موجودی مصالح ساختمانی","111603","asset_current","","1"
"l10n_ir_chart_111604","موجودی محصولات","111604","asset_current","","1"
"l10n_ir_chart_111605","حساب واسط انبار و بهای تمام شده","111605","asset_current","","1"
"l10n_ir_chart_111606","اموال موجود در انبار","111606","asset_current","","1"
"l10n_ir_chart_111607","کرایه حمل موجودیها","111607","asset_current","","1"
"l10n_ir_chart_111608","موجودی ضایعات","111608","asset_current","","1"
"l10n_ir_chart_111609","کالای امانی ما نزد دیگران","111609","asset_current","","1"
"l10n_ir_chart_111610","حساب واسط انبار نیمه ساخته","111610","asset_current","","1"
"l10n_ir_chart_111611","انحراف نرخ خرید مواداولیه","111611","asset_current","","1"
"l10n_ir_chart_111612","موجودی محصولات  (2)","111612","asset_current","","1"
"l10n_ir_chart_111613","موجودی محصولات(3)","111613","asset_current","","1"
"l10n_ir_chart_111614","موجودی مواد نیمه ساخته","111614","asset_current","","1"
"l10n_ir_chart_111615","موجودی محصولات 4","111615","asset_current","","1"
"l10n_ir_chart_111616","واسط کرایه حمل موجودی ها","111616","asset_current","","1"
"l10n_ir_chart_111621","موجودی اقلام راکد وناباب","111621","asset_current","","1"
"l10n_ir_chart_111622","موجودی ضایعات مواداولیه ولوازم یدکی","111622","asset_current","","1"
"l10n_ir_chart_111623","ذخیره موجودی اقلام راکد وناباب","111623","asset_current","","1"
"l10n_ir_chart_111624","ذخیره کاهش ارزش موجودی محصولات","111624","asset_current","","1"
"l10n_ir_chart_111625","ذخیره کاهش ارزش موجودی مواد اولیه","111625","asset_current","","1"
"l10n_ir_chart_111626","ذخیره کاهش ارزش موجودی قطعات وملزومات","111626","asset_current","","1"
"l10n_ir_chart_111701","کالای در جریان ساخت","111701","asset_current","","1"
"l10n_ir_chart_111702","انحراف نرخ کاردرجریان ابتدای دوره","111702","asset_current","","1"
"l10n_ir_chart_111801","بهای اصلی سفارش","111801","asset_current","","1"
"l10n_ir_chart_111802","هزینه های ثبت سفارش","111802","asset_current","","1"
"l10n_ir_chart_111803","هزینه های بیمه","111803","asset_current","","1"
"l10n_ir_chart_111804","هزینه های بانکی","111804","asset_current","","1"
"l10n_ir_chart_111805","هزینه های گمرکی","111805","asset_current","","1"
"l10n_ir_chart_111806","حقوق وعوارض بندری","111806","asset_current","","1"
"l10n_ir_chart_111807","هزینه بازرسی","111807","asset_current","","1"
"l10n_ir_chart_111808","هزینه حق العمل ترخیص","111808","asset_current","","1"
"l10n_ir_chart_111809","هزینه حمل","111809","asset_current","","1"
